,album_id,album_name,release_date,total_tracks,url,cover_art,length,song_ids
32,5pSk3c3wVwnb2arb6ohCPU,GOLDEN,2023-11-03,11,https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,3:03,['2HRgqmZQC0MC7GeNuDIXHN']
33,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2:58,['1BxfuPKGuaTgP7aM0Bbdwr']
34,5nzSCZ7NhKvAysI0tmNOdD,yustyna,2024-07-11,14,https://open.spotify.com/album/5nzSCZ7NhKvAysI0tmNOdD,https://i.scdn.co/image/ab67616d0000b2738fe69d8df304ff053693653e,2:22,['3JG1uFc40wfyrqaWC7iv0e']
35,2lIzIH2mQQ0ItgkJKefQMp,MJ,2024-09-12,2,https://open.spotify.com/album/2lIzIH2mQQ0ItgkJKefQMp,https://i.scdn.co/image/ab67616d0000b2739b4a2665bec0fc42d55a1215,2:57,['6PhRhocBXP4y7NpciGmzra']
36,56bdWeO40o3WfAD2Lja4dl,The Secret of Us,2024-06-21,13,https://open.spotify.com/album/56bdWeO40o3WfAD2Lja4dl,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,2:37,['51rfRCiUSvxXlCSCfIztBy']
37,20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,2000-03-21,12,https://open.spotify.com/album/20RMokVwJ2wjQ0s8FOdOFC,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909,3:20,['62bOmKYxYg7dhrC6gH9vFn']
38,5H7sO778w4hgr2v2600ajN,UWAIE,2024-08-15,1,https://open.spotify.com/album/5H7sO778w4hgr2v2600ajN,https://i.scdn.co/image/ab67616d0000b27379945367a260e985a4471dc3,2:52,['5QjmUqgpPQgXgg4606DqZF']
39,6MikZBKCtKfPM4439yzBRz,EL COMIENZO,2024-08-09,7,https://open.spotify.com/album/6MikZBKCtKfPM4439yzBRz,https://i.scdn.co/image/ab67616d0000b273200e2b6526846c59789c92e6,2:14,['42wdz3j7gstgUuhoFLCXqd']
40,5kvw1bAOvzJdNi4hdgfaNf,ÉXODO,2024-06-20,24,https://open.spotify.com/album/5kvw1bAOvzJdNi4hdgfaNf,https://i.scdn.co/image/ab67616d0000b2732690127e1d6cd0aa35cc353b,2:10,['2aYZaN5SmkRDLsrrV8GkBQ']
41,3VNxRarx9HUI5w7DHv0TBj,Stargazing,2024-05-10,1,https://open.spotify.com/album/3VNxRarx9HUI5w7DHv0TBj,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,2:52,['3Vr3zh0r7ALn8VLqCiRR10']
